State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ANDHRA PRADESH,2602,2525,2667,2579,2750,2766,2665,2690,2449,2538,2808,2717,2484
ARUNACHAL PRADESH,83,61,77,67,81,60,68,72,59,75,65,73,69
ASSAM,1356,1253,1191,1214,1194,1207,1374,1426,1323,1223,1303,1368,1354
BIHAR,3643,3712,3771,3948,3471,3249,3034,3139,3152,3362,3198,3566,3441
CHHATTISGARH,880,844,776,927,1013,1098,1097,1169,1083,1065,1110,998,945
GOA,36,30,34,40,45,39,33,49,53,35,48,45,36
GUJRAT,1226,1532,1114,1113,1033,1165,1166,1106,1020,1048,1126,1126,1118
HARYANA,781,760,702,733,784,873,911,921,948,1005,1062,991,982
HIMACHAL PRADESH,119,123,125,110,110,111,127,129,125,132,130,113,104
JAMMU & KASHMIR,1075,1048,929,816,647,487,318,237,237,217,169,124,150
JHARKHAND,1507,1488,1482,1488,1523,1492,1617,1697,1636,1689,1747,1694,1630
KARNATAKA,1626,1627,1506,1519,1609,1627,1538,1698,1702,1805,1820,1860,1601
KERALA ,472,454,435,417,388,393,367,362,343,363,365,374,372
MADHYA PRADESH,2425,2395,2227,2379,2405,2309,2244,2322,2386,2423,2511,2373,2112
MAHARASHTRA,2839,2768,2772,2696,2621,2656,2693,2795,2653,2744,2818,2712,2512
MANIPUR,209,165,150,159,256,205,240,187,131,92,78,83,93
MEGHALAYA,164,167,175,124,134,157,114,126,128,134,170,137,166
MIZORAM,31,29,46,35,24,25,43,35,31,48,26,30,27
NAGALAND,101,100,91,70,87,123,111,143,46,45,46,75,78
ODISHA,987,1075,1044,1066,1079,1159,1210,1250,1250,1308,1477,1548,1454
PUNJAB,738,733,731,775,713,817,760,769,853,907,842,855,711
RAJASTHAN,1259,1276,1262,1279,1221,1209,1303,1297,1395,1421,1461,1461,1573
SIKKIM,19,13,14,16,8,21,9,9,19,17,14,7,15
TAMIL NADU,1662,1723,1591,1479,1440,1363,1633,1759,1776,1875,1877,1949,1936
TRIPURA,240,201,254,189,121,154,138,155,133,150,163,124,142
UTTARPRADESH,7601,6825,5284,6126,5711,5480,5000,4564,4534,4401,4951,4966,5047
UTTARAKHAND,316,292,268,262,279,274,268,223,195,176,178,217,197
WEST BENGAL,1594,1444,1425,1425,1453,1425,1652,1811,2068,2398,2109,2252,2264
A & N ISLAND,13,17,21,15,14,4,15,8,15,9,14,15,6
CHANDIGARH,15,31,21,22,18,12,19,17,22,21,24,21,22
D & N HAVELI,3,11,11,11,7,9,10,9,10,6,14,7,3
DAMAN & DIU,7,8,6,3,5,6,12,2,5,5,6,3,9
DELHI,547,531,485,481,455,476,495,554,552,565,543,521,517
LAKSHADWEEP,1,0,0,0,1,0,0,1,0,0,0,0,0
PUDUCHERRY,25,29,29,25,19,30,34,35,37,33,32,29,31
