State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ANDHRA PRADESH,5791,7018,8167,8388,8696,9164,11335,10306,11297,12080,13376,13389,15084
ARUNACHAL PRADESH,11,13,14,4,9,14,20,13,13,12,18,26,29
ASSAM,1248,1694,1808,1945,2206,2548,3000,3478,4398,5410,5246,6407,8636
BIHAR,1558,1577,1880,2679,1574,1689,1635,1992,2532,2271,2607,3686,4533
CHHATTISGARH,840,653,601,741,732,717,824,897,893,861,834,980,1181
GOA,11,8,24,17,11,14,14,12,21,17,18,24,40
GUJRAT,3667,3321,3684,3955,4090,4977,5827,6094,5506,5600,6052,6658,7812
HARYANA,1513,1565,1618,2026,2075,2254,2412,2435,2617,2720,2740,3137,3617
HIMACHAL PRADESH,317,234,221,252,228,259,342,343,284,275,239,251,328
JAMMU & KASHMIR,50,54,71,82,76,135,176,162,196,211,286,301,428
JHARKHAND,484,588,559,588,590,668,801,851,710,650,659,1261,2084
KARNATAKA,1755,1826,1704,1588,1883,2129,2507,2638,3185,3441,3712,3684,3276
KERALA ,2561,2836,2930,3222,3283,3708,3999,4138,4007,4797,5377,5216,4820
MADHYA PRADESH,2562,3117,2938,3436,2989,2989,3294,3185,3983,3756,3732,3988,4988
MAHARASHTRA,6090,5353,5452,5646,6233,6738,7356,7829,7681,7434,7136,7415,8542
MANIPUR,5,10,4,2,20,10,15,28,25,18,39,43,29
MEGHALAYA,4,0,4,5,3,13,19,32,24,24,21,16,23
MIZORAM,16,3,3,0,0,1,2,5,4,3,9,8,5
NAGALAND,0,0,0,0,0,3,0,4,0,1,1,0,68
ODISHA,1266,1167,1289,1192,1671,694,728,1618,2047,2067,2320,2638,2792
PUNJAB,1128,944,987,801,729,801,971,984,1061,1163,1136,1293,1741
RAJASTHAN,5532,5691,5733,6781,5997,7038,8170,8113,10371,11145,12218,13312,15094
SIKKIM,0,3,1,1,4,6,7,5,6,3,4,4,5
TAMIL NADU,815,1052,1555,1437,1650,1248,1976,1648,1460,1570,1812,1965,2471
TRIPURA,227,236,247,302,439,471,545,735,815,937,702,858,827
UTTARPRADESH,7365,5679,2626,4950,4505,5204,7650,8312,8566,7978,7121,7661,8781
UTTARAKHAND,301,316,317,405,272,358,463,340,361,334,307,368,435
WEST BENGAL,3859,4069,4948,6334,6936,7414,9900,13663,16112,17796,19772,19865,18116
A & N ISLAND,9,4,7,5,5,7,18,26,21,9,5,5,9
CHANDIGARH,36,56,93,73,75,102,112,49,51,41,46,73,92
D & N HAVELI,4,3,2,3,5,5,3,4,3,3,3,0,1
DAMAN & DIU,4,3,0,4,3,2,3,5,3,3,2,3,2
DELHI,138,135,1211,1254,1324,1728,1787,1387,1283,1404,1575,1985,3033
LAKSHADWEEP,0,0,1,1,0,1,2,1,0,0,0,1,0
PUDUCHERRY,3,9,4,2,6,19,17,12,10,7,10,6,8
