State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ANDHRA PRADESH,420,449,466,512,443,519,613,556,546,588,599,504,492
ARUNACHAL PRADESH,0,0,0,0,0,1,0,0,0,0,0,1,0
ASSAM,59,70,60,74,99,105,100,103,170,175,121,140,170
BIHAR,859,927,909,1029,1014,1188,1172,1210,1295,1257,1413,1275,1182
CHHATTISGARH,70,85,79,71,100,103,100,106,128,115,104,81,109
GOA,2,2,2,2,2,0,2,2,3,1,1,0,0
GUJRAT,67,62,54,58,48,50,42,27,24,19,30,21,29
HARYANA,285,256,222,251,212,255,269,302,281,284,255,258,263
HIMACHAL PRADESH,10,6,6,8,2,3,8,3,1,2,4,2,0
JAMMU & KASHMIR,13,18,10,9,5,10,9,21,12,9,11,8,7
JHARKHAND,217,275,262,275,257,281,303,266,295,276,282,302,307
KARNATAKA,220,233,194,259,261,244,251,259,264,248,267,218,277
KERALA ,27,17,33,31,21,25,27,31,20,22,15,32,21
MADHYA PRADESH,609,674,648,751,739,764,742,805,858,892,811,743,776
MAHARASHTRA,308,303,368,314,341,387,436,390,341,393,339,329,320
MANIPUR,0,0,0,0,0,0,0,1,0,0,1,0,0
MEGHALAYA,0,0,0,2,1,6,2,2,0,0,1,1,2
MIZORAM,0,0,0,0,4,0,0,0,0,0,0,0,0
NAGALAND,0,0,0,0,0,0,0,0,0,0,0,0,1
ODISHA,294,248,279,319,334,457,461,401,384,388,465,525,395
PUNJAB,159,166,110,113,99,130,133,128,126,121,143,118,126
RAJASTHAN,376,399,389,379,361,394,439,439,436,462,514,478,453
SIKKIM,0,0,0,0,0,0,0,0,0,1,0,1,0
TAMIL NADU,191,243,220,225,215,187,208,207,194,165,152,110,118
TRIPURA,16,16,20,20,34,35,36,16,29,25,30,37,29
UTTARPRADESH,2211,1893,1322,1708,1564,1798,2076,2237,2232,2217,2322,2244,2335
UTTARAKHAND,56,66,93,82,63,80,70,73,94,75,83,71,43
WEST BENGAL,265,273,329,396,446,445,451,451,506,507,510,593,481
A & N ISLAND,0,0,0,0,0,0,1,2,1,0,0,2,1
CHANDIGARH,3,1,1,6,3,10,1,3,2,5,2,5,1
D & N HAVELI,0,0,0,0,0,1,0,0,0,0,0,0,0
DAMAN & DIU,0,0,1,0,1,0,1,0,0,0,0,0,0
DELHI,113,135,130,126,114,137,138,129,141,143,142,134,144
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,1,5,1,6,4,3,2,2,0,1,1,0,1
