State,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ANDHRA PRADESH,84,137,383,363,315,412,363,412,416,446,646,613,770
ARUNACHAL PRADESH,0,3,9,11,10,0,1,11,16,12,20,18,35
ASSAM,0,3,5,7,90,61,34,27,4,39,40,156,230
BIHAR,16,3,3,3,8,17,110,91,63,114,91,137,86
CHHATTISGARH,150,182,186,308,382,448,368,411,394,382,477,519,595
GOA,10,7,22,20,15,14,15,18,30,23,20,38,59
GUJRAT,39,67,75,96,90,112,98,99,91,102,130,150,263
HARYANA,108,84,77,24,131,176,122,70,116,107,66,276,388
HIMACHAL PRADESH,35,26,36,32,58,41,48,68,83,72,72,89,130
JAMMU & KASHMIR,6,7,2,4,4,8,12,5,4,8,9,13,25
JHARKHAND,11,43,16,43,22,28,23,8,8,0,16,6,23
KARNATAKA,18,19,25,42,48,84,84,97,104,108,97,142,270
KERALA ,64,54,69,159,140,219,183,215,235,208,423,455,637
MADHYA PRADESH,390,517,699,710,870,829,1043,892,1071,1182,1262,1632,2112
MAHARASHTRA,367,491,605,634,634,655,615,690,612,747,818,917,1546
MANIPUR,0,0,7,4,4,15,4,22,12,11,19,17,40
MEGHALAYA,0,1,24,0,51,47,41,34,60,91,66,81,112
MIZORAM,0,0,9,0,37,35,60,18,11,42,39,73,57
NAGALAND,0,0,0,1,0,11,2,0,0,3,15,7,3
ODISHA,17,21,55,31,28,101,92,65,87,74,165,192,509
PUNJAB,38,52,54,54,51,58,135,106,210,144,166,295,490
RAJASTHAN,35,38,49,137,246,311,406,420,371,369,394,572,892
SIKKIM,4,4,8,1,14,14,17,12,14,14,11,21,25
TAMIL NADU,20,29,47,166,115,125,141,187,182,203,271,292,419
TRIPURA,0,0,0,28,20,37,33,104,83,107,45,17,43
UTTARPRADESH,562,416,301,394,394,347,471,900,625,451,1088,1040,1381
UTTARAKHAND,9,8,11,17,18,23,17,9,7,10,23,34,32
WEST BENGAL,12,16,16,19,6,20,92,129,109,73,252,285,377
A & N ISLAND,0,0,2,8,2,5,3,8,12,15,9,10,21
CHANDIGARH,8,6,9,13,21,8,8,10,21,16,15,17,19
D & N HAVELI,0,0,0,0,0,3,3,3,2,3,1,1,4
DAMAN & DIU,0,0,4,1,1,1,0,0,1,1,0,4,4
DELHI,113,138,140,186,235,448,398,301,307,304,339,415,757
LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0
PUDUCHERRY,4,4,1,4,3,8,3,4,1,3,6,7,9
